id,movie_title,overview,director,actor_1,actor_2,actor_3,genres,popularity,year,vote_average,vote_count,describe
117341.0,madhoshi,"Madhoshi is a 2004 Bollywood film. It is directed by Tanveer Khan and stars Bipasha Basu, John Abraham, Shweta Tiwari and Priyanshu Chatterjee.  Anupama Kaul (played by Bipasha Basu) is a woman whose sister lives in New York. One day she gets a call from her sister and while they are talking on the phone, her sister is killed by the 9/11 attacks. Anupama is devastated. A few years later Anu is happily engaged to Arpit Oberoi (played by Priyanshu Chatterjee); then Arpit leaves for America for business reasons and Anu is wooed by a man named Aman (played by John Abraham).",Tanveer Khan,Bipasha Basu,John Abraham,Priyanshu Chatterjee,Drama Romance Music Mystery,0.741,2004,4.4,5.0,Bipasha Basu John Abraham Priyanshu Chatterjee Tanveer Khan Drama Romance Music Mystery 0.741
14134.0,main hoon na,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Farah Khan,Shahrukh Khan,Sushmita Sen,Kunal Kumar,Drama,8.332,2004,6.9,186.0,Shahrukh Khan Sushmita Sen Kunal Kumar Farah Khan Drama 8.332
21265.0,maqbool,"The Scottish tragedy 'Macbeth' set in the contemporary underworld of India's commercial capital; two corrupt, fortune telling policemen take the roles of the weird sisters, and ""Duncan"" is Abbaji, the head of a crime family.",Vishal Bhardwaj,Murali Sharma,Tabu,Pankaj Kapoor,Action Crime Drama,4.294,2004,7.1,35.0,Murali Sharma Tabu Pankaj Kapoor Vishal Bhardwaj Action Crime Drama 4.294
20495.0,mujhse shaadi karogi,"Sameer, fast at losing his temper is re-located to Goa where he falls in love with Rani. But Sameer's new roommate Sunny, has some plans of his own.",David Dhawan,Rajpal Yadav,Supriya Karnik,Kurush Deboo,Romance Comedy,5.91,2004,6.3,77.0,Rajpal Yadav Supriya Karnik Kurush Deboo David Dhawan Romance Comedy 5.91
117356.0,musafir,"Musafir (Hindi: मुसाफ़िर Musāfir, translation: Traveller) is a 2004 Hindi thriller film, directed and produced by Sanjay Gupta starring Sanjay Dutt, Anil Kapoor and Sameera Reddy. The film was controversial because of some sensual scenes, including kissing, between Kapoor and Reddy. The film has been described as ""a take-off on"" Oliver Stone's 1997 thriller, U Turn",Sanjay Gupta,Anil Kapoor,Sanjay Dutt,Sameera Reddy,Drama Action Thriller Crime,1.477,2004,5.4,14.0,Anil Kapoor Sanjay Dutt Sameera Reddy Sanjay Gupta Drama Action Thriller Crime 1.477
451826.0,naach,"Govinda, an aspiring dancer, lives with his poor mother. In a turn of events, he is given a break to compete with Rocky, a famous dancer in the city.",Ram Gopal Varma,Antara Mali,Abhishek Bachchan,Ritesh Deshmukh,Action,0.6,2004,,,Antara Mali Abhishek Bachchan Ritesh Deshmukh Ram Gopal Varma Action 0.6
58725.0,netaji subhas chandra bose: the forgotten hero,"Netaji Subhas Chandra Bose: The Forgotten Hero (also known as Bose: The Forgotten Hero) is a 2005 film directed by Shyam Benegal and starring Sachin Khedekar, Kulbhushan Kharbanda, Rajit Kapur, Arif Zakaria, and Divya Dutta. The movie depicts the last five years of the life of the Indian independence leader ""Netaji"" Subhash Chandra Bose. It starts out at the point where Bose resigns from his position as the president of the Indian National Congress (I.N.C.) to the meeting with Italians by crossing Afghanistan's rugged terrains and entering into Europe, to romancing his German secretary and appointment with Adolf Hitler in Berlin, to his inspiring of the Indian P.O.W.s (Prisoners Of War) of the 'Punjab Regiment' (British Army) for fighting against the British forces in India, to the patriotic speeches.",Shyam Benegal,Sachin Khedekar,Kulbhushan Kharbanda,Rajit Kapur,Action Drama History,2.004,2004,7.9,7.0,Sachin Khedekar Kulbhushan Kharbanda Rajit Kapur Shyam Benegal Action Drama History 2.004
86576.0,paap,"The story is about a young girl, Kaya (Udita Goswami) , living in the beautifully serene valley of Spiti, waiting to join a Buddhist monastery, an idea which has been fed to her all her life by her father (Mohan Agashe) and one which she has never questioned. When Lama Norbu, a senior lama from the monastery has a dream that the Buddhist teacher, the Rinpoche has been reborn as a young child, he sends Kaya to Delhi on a mission to bring him back to the monastery.",Pooja Bhatt,John Abraham,Udita Goswami,unknown,Thriller Action Romance,2.401,2004,5.8,8.0,John Abraham Udita Goswami unknown Pooja Bhatt Thriller Action Romance 2.401
521263.0,paisa vasool,"After a chance encounter at a club a struggling actress Baby decides to move in with Maria, a withdrawn divorcee who is having financial troubles and run-ins with the maffia. By accident the two women overhear a conversation in which a man confesses committing a robbery to his girlfriend. The two women decide to blackmail him for a piece of the action. Unfortunately the robbers have no intention of just rolling over.",Srinivas Bhashyam,Manisha Koirala,Sushmita Sen,Sushant Singh,Crime,0.6,2004,,,Manisha Koirala Sushmita Sen Sushant Singh Srinivas Bhashyam Crime 0.6
55808.0,rakht,"The sequel carries forward the tale of power and revenge which exploded in Rakht Charitra 1. The rebel leader turned politician, Pratap consolidates his political base but is forced to retread the path of vengeance once again after a rival from the past, Surya Narayan Reddy chooses to avenge the assassination of his family. Surya swears vengeance against Pratap after his family is wiped out in a bomb attack and Pratap is hell bent on decimating his enemy, even if it means separating ways with his mentor and political veteran, Shivaji.",Mahesh Manjrekar,Sunil Shetty,Neha Dhupia,Abhishek Bachchan,Action Crime Drama,3.092,2004,6.1,16.0,Sunil Shetty Neha Dhupia Abhishek Bachchan Mahesh Manjrekar Action Crime Drama 3.092
